comp_id,العام,الفترة,المبيعات,تكاليف المبيعات,اجمالي الدخل,دخل العمليات,صافي الدخل,ربح السهم الصافي,عدد الأسهم,رأس المال
47,2005,الثاني,,,,1060.72,938,0.31,3000,30000
47,2005,الثالث,,,,1109.9,667.65,0.22,3000,30000
47,2005,الرابع,,,,1157.06,710.06,0.24,3000,30000
47,2005,سنة,,,,3327.68,2315.71,0.77,,
47,2006,الأول,,,,1343.88,872.41,0.29,3000,30000
47,2006,الثاني,,,,1134.51,681.94,0.23,3000,30000
47,2006,الثالث,,,,1134.09,651.13,0.22,3000,30000
47,2006,الرابع,,,,1273.65,703.06,0.23,3000,30000
47,2006,سنة,,,,4886.13,2908.54,0.97,,
47,2007,الأول,,,,1207.02,655.05,0.22,3000,30000
47,2007,الثاني,,,,1373.54,847.55,0.28,3000,30000
47,2007,الثالث,,,,1246.97,715.88,0.24,3000,30000
47,2007,الرابع,,,,1340.6,792.76,0.26,3000,30000
47,2007,سنة,,,,5168.13,3011.24,1,,
47,2008,الأول,,,,1212.23,690.71,0.23,3000,30000
47,2008,الثاني,,,,1446,906.35,0.3,3000,30000
47,2008,الثالث,,,,1058.35,512.55,0.17,3000,30000
47,2008,الرابع,,,,1531.78,529.15,0.18,3000,30000
47,2008,سنة,,,,5248.36,2638.76,0.88,,
47,2009,الأول,,,,1459.36,441.06,0.15,3000,30000
47,2009,الثاني,,,,1524.41,918,0.31,3000,30000
47,2009,الثالث,,,,1400.83,759.38,0.25,3000,30000
47,2009,الرابع,,,,1575.51,912.04,0.3,3000,30000
47,2009,سنة,,,,5960.11,3030.48,1.01,,
47,2010,الأول,,,,1469.41,684.46,0.23,3000,30000
47,2010,الثاني,,,,1527.26,765.8,0.26,3000,30000
47,2010,الثالث,,,,1498.16,610.76,0.2,3000,30000
47,2010,الرابع,,,,1485.62,763.6,0.25,3000,30000
47,2010,سنة,,,,5980.45,2824.62,0.94,,
47,2011,الأول,,,,1526.84,741.24,0.25,3000,30000
47,2011,الثاني,,,,1569.68,835.99,0.28,3000,30000
47,2011,الثالث,,,,1572.56,794.28,0.26,3000,30000
47,2011,الرابع,,,,1606.72,777.85,0.26,3000,30000
47,2011,سنة,,,,6275.8,3149.36,1.05,,
47,2012,الأول,,,,1643.89,901.48,0.3,3000,30000
47,2012,الثاني,,,,1804.29,914.4,0.3,3000,30000
47,2012,الثالث,,,,1667.72,840.03,0.28,3000,30000
47,2012,الرابع,,,,1670.38,810.13,0.27,3000,30000
47,2012,سنة,,,,6786.28,3466.04,1.15,,
47,2013,الأول,,,,1724.64,950.98,0.32,3000,30000
47,2013,الثاني,,,,1815.48,967.91,0.32,3000,30000
47,2013,الثالث,,,,1738.69,997.93,0.33,3000,30000
47,2013,الرابع,,,,1795.22,1030.29,0.34,3000,30000
47,2013,سنة,,,,7074.03,3947.11,1.31,,
47,2014,الأول,,,,1932.04,1079.45,0.36,3000,30000
47,2014,الثاني,,,,2094.96,1136.26,0.38,3000,30000
47,2014,الثالث,,,,1990.25,1076.29,0.36,3000,30000
47,2014,الرابع,,,,1994.52,1060.41,0.35,3000,30000
47,2014,سنة,,,,8011.77,4352.41,1.45,,
47,2015,الأول,,,,2047.81,1171.6,0.39,3000,30000
47,2015,الثاني,,,,1901.43,1128.23,0.38,3000,30000
47,2015,الثالث,,,,1862.11,898.55,0.3,3000,30000
47,2015,الرابع,,,,1888.02,851.1,0.28,3000,30000
47,2015,سنة,,,,7699.37,4049.48,1.35,,
47,2016,الأول,,,,1786.17,1173.72,0.39,3000,30000
47,2016,الثاني,,,,2026.99,1145.98,0.38,3000,30000
47,2016,الثالث,,,,1854.88,729.43,0.24,3000,30000
47,2016,الرابع,,,,1833.24,293.37,0.1,3000,30000
47,2016,سنة,,,,7501.28,3342.5,1.11,,
47,2017,الأول,,,,2007.29,1047.36,0.35,3000,30000
47,2017,الثاني,,,,1983.91,847.92,0.28,3000,30000
47,2017,الثالث,,,,2076.13,1076.85,0.36,3000,30000
47,2017,الرابع,,,,2057.89,973.88,0.32,3000,30000
47,2017,سنة,,,,8125.22,3946.01,1.31,,
47,2018,الأول,,,,2129.55,916.83,0.31,3000,30000
47,2018,الثاني,,,,2173.53,842.49,0.28,3000,30000
47,2018,الثالث,,,,2280.89,945.01,0.32,3000,30000
47,2018,الرابع,,,,2383.44,387.75,0.13,3000,30000
47,2018,سنة,,,,8967.41,3092.08,1.04,,
47,2019,الأول,,,,2580.14,1484.79,0.49,3000,30000
47,2019,الثاني,,,,2669.57,1499.75,0.5,3000,30000
47,2019,الثالث,,,,2762.69,1506.35,0.5,3000,30000
47,2019,الرابع,,,,2704.66,1111.18,0.37,3000,30000
47,2019,سنة,,,,10717.06,5602.07,1.86,,
47,2020,الأول,,,,2885.48,1476.43,0.49,3000,30000
47,2020,الثاني,,,,2708.95,1063.05,0.35,3000,30000
47,2020,الثالث,,,,2820.99,1295.98,0.43,3000,30000
47,2020,الرابع,,,,2789.71,879.54,0.29,3000,30000
47,2020,سنة,,,,11205.13,4715,1.56,,
47,2021,الأول,,,,2823.83,1353.62,0.45,3000,30000
